Inventarisnr.,,,Inv.srt,,Omschrijving,,Terminal-ID,,Straat,Thv,CBS,Wijk,Sector A,Sector B,Sector C,,Sector D,X-Coord.,Y-Coord.,Voeding,ICS,Online,Type,ESN no,Cr Callno,Sleutel,GSM,Deelgem.,Deelgem niveau,Man nr,Status,Mutdatum,Door user,Inv.status
FT1,,,FT,,Fietstrommel,,,,ESSENBURGSNGL,9,,,,,,,,51.9229316711426,4.46130990982056,,,,,,,,,Delfshaven,,,A,19-05-2010,STREPE,
FT10,,,FT,,Fietstrommel,,,,PANNEKOEKSTR,97,,,,,,,,51.9220695495605,4.48883008956909,,,,,,,,,Centrum,,,A,07-06-2009,Conversie,
FT100,,,FT,,Fietstrommel,,,,SCHIEKD,155,,,,,,,,51.9263496398926,4.47619009017944,,,,,,,,,Noord,,,A,08-07-2010,BEHEER-STZ,
FT101,,,FT,,Fietstrommel,,,,SCHIEKD,55,,,,,,,,51.9297218322754,4.47138023376465,,,,,,,,,Noord,,,A,08-07-2010,BEHEER-STZ,
FT102,,,FT,,Fietstrommel,,,,NOORDSNGL,72,,,,,,,,51.9301986694336,4.47891998291016,,,,,,,,,Noord,,,A,08-07-2010,BEHEER-STZ,
FT103,,,FT,,Fietstrommel,,,,SCHEPENSTR,48,,,,,,,,51.9301490783691,4.46625995635986,,,,,,,,,Noord,,,A,08-07-2010,BEHEER-STZ,
FT104,,,FT,,Fietstrommel,,,,SCHEPENSTR,34,,,,,,,,51.9305992126465,4.46646976470947,,,,,,,,,Noord,,,A,08-07-2010,BEHEER-STZ,
FT105,,,FT,,Fietstrommel,,,,S GRAVENDYKWAL,24,,,,,,,,51.9186096191406,4.46326017379761,,,,,,,,,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT106,,,FT,,Fietstrommel,,,,K BAJONETSTR,4,,,,,,,,51.9184913635254,4.46479988098145,,,,,,,,,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT107,,,FT,,Fietstrommel,,,,BREITNERSTR,115,,,,,,,,51.9130401611328,4.46727991104126,,,,,,,,,Centrum,,,A,20-04-2011,OOMEBE,
FT108,,,FT,,Fietstrommel,,,,MAASKD,146,,,,,,,,51.9118690490723,4.49046993255615,,,,,,,,,Feijenoord,,,A,08-07-2010,BEHEER-STZ,
FT109,,,FT,,Fietstrommel,,,,AKELEISTR,17,,,,,,,,51.9213600158691,4.46380996704102,,,,,,,,,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT11,,,FT,,Fietstrommel,,,,KORTENAERSTR,1,,,,,,,,51.9138908386231,4.47814989089966,,,,,,,,,Centrum,,,A,07-06-2009,Conversie,
FT110,,,FT,,Fietstrommel,,,,ROCHUSSENSTR,105,,,,,,,,51.9126281738281,4.46628999710083,,,,,,,,,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT111,,,FT,,Fietstrommel,,,,W DE WITHHOF,4,,,,,,,,51.9159889221191,4.47925996780396,,,,,,,,,Centrum,,,A,07-06-2009,Conversie,
FT112,,,FT,,Fietstrommel,,,,ORCHIDEESTR,4,,,,,,,,51.943229675293,4.47391986846924,,,,,,,,,Hillegersberg,,,A,07-06-2009,Conversie,
FT113,,,FT,,Fietstrommel,,,,SAENREDAMPLN,7,,,,,,,,51.9385299682617,4.42221021652222,,,,,,,,,Overschie,,,A,08-07-2010,STREPE,
FT114,,,FT,,Fietstrommel,,,,SAENREDAMPLN,7,,,,,,,,51.9385299682617,4.42222023010254,,,,,,,,,Overschie,,,A,08-07-2010,BEHEER-STZ,
FT115,,,FT,,Fietstrommel,,,,GR FLORISSTR,22,,,,,,,,51.9208602905273,4.45916986465454,,,,,,,,,Delfshaven,,,A,08-07-2010,STREPE,
FT116,,,FT,,Fietstrommel,,,,GR FLORISSTR,100,,,,,,,,51.9191398620606,4.45697021484375,,,,,,,,,Delfshaven,,,A,16-07-2010,OOMEBE,
FT117,,,FT,,Fietstrommel,,,,GR FLORISSTR,50,,,,,,,,51.9202194213867,4.45836019515991,,,,,,,,,Delfshaven,,,A,07-06-2009,Conversie,
FT118,,,FT,,Fietstrommel,,,,BEUKELSDK,14,,,,,,,,51.9217300415039,4.45907020568848,,,,,,,,,Delfshaven,,,A,08-07-2010,BEHEER-STZ,
FT119,,,FT,,Fietstrommel,,,,C DE VRIESELN,64,,,,,,,,51.9156303405762,4.45953989028931,,,,,,,,,Delfshaven,,,A,07-06-2009,Conversie,
FT12,,,FT,,Fietstrommel,,,,ENGELSESTR,135,,,,,,,,51.9158897399902,4.41723012924194,,,,,,,,,Delfshaven,,,A,07-06-2009,Conversie,
FT120,,,FT,,Fietstrommel,,,,MATHENESSERLN,244,,,,,,,,51.9145011901856,4.46163988113403,,,,,,,,,Delfshaven,,,A,07-06-2009,Conversie,
FT121,,,FT,,Fietstrommel,,,,MATHENESSERLN,362,,,,,,,,51.9134216308594,4.45250988006592,,,,,,,,,Delfshaven,,,A,08-07-2010,STREPE,
FT122,,,FT,,Fietstrommel,,,,SCHIETBAANLN,182,,,,,,,,51.9156684875488,4.45930004119873,,,,,,,,,Delfshaven,,,A,08-07-2010,BEHEER-STZ,
FT123,,,FT,,Fietstrommel,,,,V CITTERSSTR,44,,,,,,,,51.9183692932129,4.44620990753174,,,,,,,,,Delfshaven,,,A,08-07-2010,BEHEER-STZ,
FT124,,,FT,,Fietstrommel,,,,MATHENESSERLN,424,,,,,,,,51.9141998291016,4.44944000244141,,,,,,,,,Delfshaven,,,A,08-07-2010,STREPE,
FT125,,,FT,,Fietstrommel,,,,BURG MEINESZLN,9,,,,,,,,51.9174880981445,4.45386981964111,,,,,,,,,Delfshaven,,,A,08-07-2010,BEHEER-STZ,
